postal_code,city,gmina,powiat,wojewodztwo
12-114,Antonia,Rozogi,szczycieński,warmińsko-mazurskie
07-410,Antonie,Olszewo-Borki,ostrołęcki,mazowieckie
97-352,Antonielów,Szlacheckie,piotrkowski,łódzkie
26-070,Antonielów,Łopuszno,kielecki,świętokrzyskie
95-083,Antoniew,Lutomiersk,pabianicki,łódzkie
95-015,Antoniew,Głowno,zgierski,łódzkie
96-513,Antoniew,Sucha,sochaczewski,mazowieckie
96-315,Antoniew,Wiskitki,żyrardowski,mazowieckie
74-510,Antoniewice,Trzcińsko-Zdrój,gryfiński,zachodniopomorskie
73-234,Antoniewko,Bierzwnik,choszczeński,zachodniopomorskie
87-704,Antoniewo,Bądkowo,aleksandrowski,kujawsko-pomorskie
87-400,Antoniewo,Golub-Dobrzyń,golubsko-dobrzyński,kujawsko-pomorskie
87-840,Antoniewo,Kujawski,włocławski,kujawsko-pomorskie
07-310,Antoniewo,Mazowiecka,ostrowski,mazowieckie
09-213,Antoniewo,Gozdowo,sierpecki,mazowieckie
09-135,Antoniewo,Siemiątkowo,żuromiński,mazowieckie
89-632,Antoniewo,Brusy,chojnicki,pomorskie
14-300,Antoniewo,Morąg,ostródzki,warmińsko-mazurskie
64-720,Antoniewo,Lubasz,czarnkowsko-,wielkopolskie
62-085,Antoniewo,Skoki,wągrowiecki,wielkopolskie
37-600,Antoniki,Lubaczów,lubaczowski,podkarpackie
98-260,Antonin,Burzenin,sieradzki,łódzkie
98-240,Antonin,Szadek,zduńskowolski,łódzkie
18-230,Antonin,Ciechanowiec,wysokomazowiecki,podlaskie
82-550,Antonin,Prabuty,kwidzyński,pomorskie
63-210,Antonin,Żerków,jarociński,wielkopolskie
62-862,Antonin,Szczytniki,kaliski,wielkopolskie
64-600,Antonin,Oborniki,obornicki,wielkopolskie
63-421,Antonin,Przygodzice,ostrowski,wielkopolskie
62-025,Antonin,Kostrzyn,poznański,wielkopolskie
98-337,Antonina,Wielkie,pajęczański,łódzkie
05-307,Antonina,Dobre,miński,mazowieckie
05-340,Antoninek,Kołbiel,otwocki,mazowieckie
62-060,Antoninek,Stęszew,poznański,wielkopolskie
26-332,Antoninów,Sławno,opoczyński,łódzkie
96-200,Antoninów,Rawska,rawski,łódzkie
09-520,Antoninów,Gostynin,gostyniński,mazowieckie
05-504,Antoninów,Piaseczno,piaseczyński,mazowieckie
58-512,Antoniów,Kamienica,karkonoski,dolnośląskie
21-020,Antoniów,Milejów,łęczyński,lubelskie
26-300,Antoniów,Opoczno,opoczyński,łódzkie
26-330,Antoniów,Żarnów,opoczyński,łódzkie
97-512,Antoniów,Kodrąb,radomszczański,łódzkie
27-310,Antoniów,Ciepielów,lipski,mazowieckie
26-434,Antoniów,Gielniów,przysuski,mazowieckie
46-040,Antoniów,Ozimek,opolski,opolskie
37-455,Antoniów,Sanem,stalowowolski,podkarpackie
42-233,Antoniów,Mykanów,częstochowski,śląskie
27-423,Antoniów,Bałtów,ostrowiecki,świętokrzyskie
22-315,Antoniówka,Gorzków,krasnostawski,lubelskie
21-102,Antoniówka,Ostrówek,lubartowski,lubelskie
23-110,Antoniówka,Krzczonów,lubelski,lubelskie
23-145,Antoniówka,Wysokie,lubelski,lubelskie
22-610,Antoniówka,Krynice,tomaszowski,lubelskie
22-435,Antoniówka,Komarów-Osada,zamojski,lubelskie
97-410,Antoniówka,Kleszczów,bełchatowski,łódzkie
37-470,Antoniówka,Zaklików,stalowowolski,podkarpackie
08-480,Antoniówka,Maciejowice,garwoliński,mazowieckie
07-306,Antonowo,Brok,ostrowski,mazowieckie
17-106,Antonowo,Orla,bielski,podlaskie
11-500,Antonowo,Giżycko,giżycki,warmińsko-mazurskie
42-141,Antonów,Przystajń,kłobucki,śląskie
24-350,Antonówka,Chodel,opolski,lubelskie
21-222,Antopol,Podedwórze,parczewski,lubelskie
16-405,Antosin,Wiżajny,suwalski,podlaskie
88-230,Anusin,Kujawski,radziejowski,kujawsko-pomorskie
22-130,Anusin,Siedliszcze,chełmski,lubelskie
99-335,Anusin,Witonia,łęczycki,łódzkie
17-330,Anusin,Nurzec-Stacja,siemiatycki,podlaskie
17-300,Anusin,Siemiatycze,siemiatycki,podlaskie
89-300,Anusin,Wyrzysk,pilski,wielkopolskie
12-200,Anuszewo,Pisz,piski,warmińsko-mazurskie
83-136,Aplinki,Gniew,tczewski,pomorskie
97-320,Apolonka,Wolbórz,piotrkowski,łódzkie
42-253,Apolonka,Janów,częstochowski,śląskie
11-410,Aptynty,Barciany,kętrzyński,warmińsko-mazurskie
17-312,Arbasy,Drohiczyn,siemiatycki,podlaskie
09-100,Arcelin,Płońsk,płoński,mazowieckie
09-454,Archutowo,Bodzanów,płocki,mazowieckie
09-470,Archutówko,Bodzanów,płocki,mazowieckie
96-520,Arciechów,Iłów,sochaczewski,mazowieckie
05-255,Arciechów,Radzymin,wołomiński,mazowieckie
83-010,Arciszewo,Gdański,gdański,pomorskie
62-220,Arcugowo,Niechanowo,gnieźnieński,wielkopolskie
11-200,Ardapy,Bartoszyce,bartoszycki,warmińsko-mazurskie
89-350,Arentowo,Krajeńskie,pilski,wielkopolskie
87-731,Ariany,Waganiec,aleksandrowski,kujawsko-pomorskie
99-416,Arkadia,Nieborów,łowicki,łódzkie
62-635,Arkuszewo,Przedecz,kolski,wielkopolskie
38-712,Arłamów,Dolne,bieszczadzki,podkarpackie
88-150,Arturowo,Kruszwica,inowrocławski,kujawsko-pomorskie
95-001,Astachowice,Zgierz,zgierski,łódzkie
26-700,Atalin,Zwoleń,zwoleński,mazowieckie
64-820,Atanazyn,Szamocin,chodzieski,wielkopolskie
16-304,Ateny,Nowinka,augustowski,podlaskie
11-220,Augamy,Iławeckie,bartoszycki,warmińsko-mazurskie
99-352,Augustopol,Dąbrowice,kutnowski,łódzkie
87-313,Augustowo,Brzozie,brodnicki,kujawsko-pomorskie
86-022,Augustowo,Dobrcz,bydgoski,kujawsko-pomorskie
88-190,Augustowo,Barcin,żniński,kujawsko-pomorskie
07-210,Augustowo,Długosiodło,wyszkowski,mazowieckie
17-100,Augustowo,Podlaski,bielski,podlaskie
12-120,Augustowo,Dźwierzuty,szczycieński,warmińsko-mazurskie
64-050,Augustowo,Wielichowo,grodziski,wielkopolskie
64-130,Augustowo,Rydzyna,leszczyński,wielkopolskie
64-423,Augustowo,Kwilcz,międzychodzki,wielkopolskie
77-430,Augustowo,Krajenka,złotowski,wielkopolskie
26-340,Augustów,Drzewica,opoczyński,łódzkie
98-332,Augustów,Rząśnia,pajęczański,łódzkie
26-902,Augustów,Pilicą,kozienicki,mazowieckie
06-408,Augustów,Krasne,przasnyski,mazowieckie
26-624,Augustów,Kowala,radomski,mazowieckie
26-670,Augustów,Pionki,radomski,mazowieckie
16-300,Augustów,Augustów,augustowski,podlaskie
08-445,Augustówka,Osieck,otwocki,mazowieckie
87-865,Augustynowo,Kujawska,włocławski,kujawsko-pomorskie
98-290,Augustynów,Warta,sieradzki,łódzkie
98-360,Augustynów,Lututów,wieruszowski,łódzkie
62-660,Augustynów,Dąbie,kolski,wielkopolskie
11-130,Augustyny,Orneta,lidzbarski,warmińsko-mazurskie
16-140,Aulakowszczyzna,Korycin,sokólski,podlaskie
22-510,Aurelin,Uchanie,hrubieszowski,lubelskie
88-300,Baba,Mogilno,mogileński,kujawsko-pomorskie
87-510,Baba,Skrwilno,rypiński,kujawsko-pomorskie
07-436,Baba,Łyse,ostrołęcki,mazowieckie
13-334,Babalice,Biskupiec,nowomiejski,warmińsko-mazurskie
16-500,Babańce,Sejny,sejneński,podlaskie
97-524,Babczów,Wielkie,radomszczański,łódzkie
83-330,Babi,Żukowo,kartuski,pomorskie
62-586,Babia,Rzgów,koniński,wielkopolskie
11-100,Babiak,Warmiński,lidzbarski,warmińsko-mazurskie
62-620,Babiak,Babiak,kolski,wielkopolskie
21-200,Babianka,Parczew,parczewski,lubelskie
34-103,Babica,Wadowice,wadowicki,małopolskie
38-120,Babica,Czudec,strzyżowski,podkarpackie
23-413,Babice,Obsza,biłgorajski,lubelskie
32-551,Babice,Babice,chrzanowski,małopolskie
32-600,Babice,Oświęcim,oświęcimski,małopolskie
08-455,Babice,Trojanów,garwoliński,mazowieckie
48-120,Babice,Baborów,głubczycki,opolskie
37-754,Babice,Krzywcza,przemyski,podkarpackie
47-440,Babice,Nędza,raciborski,śląskie
05-082,Babice,warszawski,zachodni,mazowieckie
39-307,Babicha,Narodowy,mielecki,podkarpackie
95-030,Babichy,łódzki,wschodni,łódzkie
83-050,Babidół,Kolbudy,gdański,pomorskie
87-630,Babie,Skępe,lipnowski,kujawsko-pomorskie
09-200,Babiec,Rościszewo,sierpecki,mazowieckie
09-204,Babiec,Rościszewo,sierpecki,mazowieckie
42-287,Babienica,Woźniki,lubliniecki,śląskie
42-283,Babienica,Woźniki,lubliniecki,śląskie
11-430,Babieniec,Korsze,kętrzyński,warmińsko-mazurskie
11-710,Babięta,Piecki,mrągowski,warmińsko-mazurskie
14-240,Babięty,Susz,iławski,warmińsko-mazurskie
72-122,Babigoszcz,Przybiernów,goleniowski,zachodniopomorskie
16-113,Babiki,Szudziałowo,sokólski,podlaskie
27-300,Babilon,Lipsko,lipski,mazowieckie
89-608,Babilon,Chojnice,chojnicki,pomorskie
66-110,Babimost,Babimost,zielonogórski,lubuskie
59-223,Babin,Krotoszyce,legnicki,dolnośląskie
24-200,Babin,Bełżyce,lubelski,lubelskie
62-420,Babin,Strzałkowo,słupecki,wielkopolskie
63-011,Babin,Wielkopolska,średzki,wielkopolskie
74-202,Babin,Bielice,pyrzycki,zachodniopomorskie
74-111,Babinek,Banie,gryfiński,zachodniopomorskie
16-080,Babino,Choroszcz,białostocki,podlaskie
19-506,Babki,Gołdap,gołdapski,warmińsko-mazurskie
61-160,Babki,Mosina,poznański,wielkopolskie
19-400,Babki,Olecko,olecki,warmińsko-mazurskie
63-830,Babkowice,Pępowo,gostyński,wielkopolskie
64-514,Baborowo,Szamotuły,szamotulski,wielkopolskie
64-500,Baborówko,Szamotuły,szamotulski,wielkopolskie
09-130,Baboszewo,Baboszewo,płoński,mazowieckie
39-340,Babule,Narodowa,mielecki,podkarpackie
97-310,Baby,Moszczenica,piotrkowski,łódzkie
06-400,Baby,Ciechanów,ciechanowski,mazowieckie
83-240,Baby,Lubichowo,starogardzki,pomorskie
42-282,Baby,Kruszyna,częstochowski,śląskie
63-430,Baby,Odolanów,ostrowski,wielkopolskie
16-404,Bachanowo,Jeleniewo,suwalski,podlaskie
38-604,Bachlawa,Lesko,leski,podkarpackie
16-150,Bachmackie,Suchowola,sokólski,podlaskie
16-100,Bachmatówka,Sokółka,sokólski,podlaskie
87-706,Bachorza,Zakrzewo,aleksandrowski,kujawsko-pomorskie
08-206,Bachorza,Huszlew,łosicki,mazowieckie
08-300,Bachorza,Podlaski,sokołowski,mazowieckie
11-520,Bachorza,Ryn,giżycki,warmińsko-mazurskie
89-606,Bachorze,Chojnice,chojnicki,pomorskie
87-610,Bachorzewo,Wisłą,lipnowski,kujawsko-pomorskie
98-113,Bachorzyn,Buczek,łaski,łódzkie
87-312,Bachotek,Zbiczno,brodnicki,kujawsko-pomorskie
34-116,Bachowice,Spytkowice,wadowicki,małopolskie
36-068,Bachórz,Dynów,rzeszowski,podkarpackie
37-752,Bachórzec,Dubiecko,przemyski,podkarpackie
16-050,Bachury,Michałowo,białostocki,podlaskie
18-106,Baciuty,Kościelna,białostocki,podlaskie
06-406,Bacze,Górna,ciechanowski,mazowieckie
18-300,Bacze,Zambrów,zambrowski,podlaskie
08-307,Baczki,Repki,sokołowski,mazowieckie
07-130,Baczki,Łochów,węgrowski,mazowieckie
21-426,Baczków,Mysłowska,łukowski,lubelskie
32-708,Baczków,Bochnia,bocheński,małopolskie
34-211,Baczyn,Budzów,suski,małopolskie
73-200,Baczyn,Choszczno,choszczeński,zachodniopomorskie
66-432,Baczyna,Lubiszyn,gorzowski,lubuskie
26-200,Baczyna,Końskie,konecki,świętokrzyskie
72-410,Baczysław,Golczewo,kamieński,zachodniopomorskie
27-552,Baćkowice,Baćkowice,opatowski,świętokrzyskie
96-320,Badowo-Dańki,Mszczonów,żyrardowski,mazowieckie
28-136,Badrzychowice,Korczyn,buski,świętokrzyskie
26-425,Badulki,Odrzywół,przysuski,mazowieckie
63-410,Bagatela,Wielkopolski,ostrowski,wielkopolskie
07-311,Bagatele,Wąsewo,ostrowski,mazowieckie
98-420,Bagatelka,Sokolniki,wieruszowski,łódzkie
62-320,Bagatelka,Miłosław,wrzesiński,wielkopolskie
78-111,Bagicz,Morskie,kołobrzeski,zachodniopomorskie
89-520,Bagienica,Gostycyn,tucholski,kujawsko-pomorskie
19-222,Bagienice,Wąsosz,grajewski,podlaskie
18-423,Bagienice,Przytuły,łomżyński,podlaskie
11-700,Bagienice,Mrągowo,mrągowski,warmińsko-mazurskie
09-310,Bagienice,Kuczbork-Osada,żuromiński,mazowieckie
58-100,Bagieniec,Śląska,świdnicki,dolnośląskie
07-221,Bagienko,Brańszczyk,wyszkowski,mazowieckie
14-140,Bagieńsko,Miłomłyn,ostródzki,warmińsko-mazurskie
89-650,Bagna,Czersk,chojnicki,pomorskie
83-424,Bagna,Lipusz,kościerski,pomorskie
72-212,Bagna,Maszewo,goleniowski,zachodniopomorskie
77-304,Bagnica,Rzeczenica,człuchowski,pomorskie
76-012,Bagnica,Polanów,koszaliński,zachodniopomorskie
86-120,Bagniewko,Pruszcz,świecki,kujawsko-pomorskie
78-426,Bagniewko,Bór,szczecinecki,zachodniopomorskie
66-535,Bagniewo,Drezdenko,strzelecko-drezdenecki,lubuskie
14-330,Bagnity,Małdyty,ostródzki,warmińsko-mazurskie
55-120,Bagno,Śląskie,trzebnicki,dolnośląskie
22-470,Bagno,Zwierzyniec,zamojski,lubelskie
67-410,Bagno,Sława,wschowski,lubuskie
97-340,Bagno,Rozprza,piotrkowski,łódzkie
05-110,Bagno,Jabłonna,legionowski,mazowieckie
19-124,Bagno,Jaświły,moniecki,podlaskie
13-332,Bagno,Bratian,nowomiejski,warmińsko-mazurskie
76-024,Bagno,Świeszyno,koszaliński,zachodniopomorskie
16-200,Bagny,Białostocka,sokólski,podlaskie
63-012,Bagrowo,Dominowo,średzki,wielkopolskie
38-471,Bajdy,Wojaszówka,krośnieński,podkarpackie
14-230,Bajdy,Zalewo,iławski,warmińsko-mazurskie
86-253,Bajerze,Królewskie,chełmiński,kujawsko-pomorskie
19-111,Bajki-Zalesie,Krypno,moniecki,podlaskie
11-420,Bajorski,Srokowo,kętrzyński,warmińsko-mazurskie
19-321,Bajtkowo,Ełk,ełcki,warmińsko-mazurskie
16-420,Bakaniuk,Raczki,suwalski,podlaskie
06-320,Bakuła,Baranowo,ostrołęcki,mazowieckie
22-150,Bakus-Wanda,Wierzbica,chełmski,lubelskie
27-500,Balbinów,Opatów,opatowski,świętokrzyskie
47-134,Balcarzowice,Ujazd,strzelecki,opolskie
96-100,Balcerów,Skierniewice,skierniewicki,łódzkie
05-240,Balcery,Tłuszcz,wołomiński,mazowieckie
88-110,Balczewo,Inowrocław,inowrocławski,kujawsko-pomorskie
82-500,Baldram,Kwidzyn,kwidzyński,pomorskie
57-211,Baldwinowice,Ciepłowody,ząbkowicki,dolnośląskie
46-142,Baldwinowice,Namysłów,namysłowski,opolskie
08-124,Bale,Mokobody,siedlecki,mazowieckie
82-433,Balewko,Pomorskie,sztumski,pomorskie
82-325,Balewo,Markusy,elbląski,warmińsko-mazurskie
88-160,Balice,Janikowo,inowrocławski,kujawsko-pomorskie
32-083,Balice,Zabierzów,krakowski,małopolskie
28-114,Balice,Gnojno,buski,świętokrzyskie
38-606,Baligród,Baligród,leski,podkarpackie
18-414,Baliki,Nowogród,łomżyński,podlaskie
99-320,Balików,Żychlin,kutnowski,łódzkie
87-500,Balin,Rypin,rypiński,kujawsko-pomorskie
32-500,Balin,Chrzanów,chrzanowski,małopolskie
16-310,Balinka,Sztabin,augustowski,podlaskie
99-120,Balków,Piątek,łęczycki,łódzkie
38-543,Balnica,Komańcza,sanocki,podkarpackie
76-211,Bałamątek,Ustka,słupski,pomorskie
19-330,Bałamutowo,Juchy,ełcki,warmińsko-mazurskie
34-600,Bałażówka,Limanowa,limanowski,małopolskie
11-042,Bałąg,Jonkowo,olsztyński,warmińsko-mazurskie
14-100,Bałcyny,Ostróda,ostródzki,warmińsko-mazurskie
62-872,Bałdoń,Wielkie,kaliski,wielkopolskie
63-507,Bałdowice,Góra,ostrzeszowski,wielkopolskie
87-603,Bałdowo,Wielgie,lipnowski,kujawsko-pomorskie
83-110,Bałdowo,Tczew,tczewski,pomorskie
10-687,Bałdy,Purda,olsztyński,warmińsko-mazurskie
29-135,Bałków,Radków,włoszczowski,świętokrzyskie
